pID,pName,options,suggestion
16301,"3M PPS 22 Ounce Standard Lids & Liners, 125 micron filters (blue)","[{""name"":""Single Lid/Liner (16301-SINGLE)"",""price"":399},{""name"":""Full Case/50 (16301)"",""price"":14995}]","[""Success-1"",{""name"":""3M PPS Lids/Liner STANDARD SINGLE 125 micron Full Diameter"",""price"":399},{""name"":""3M PPS Lids/Liner STANDARD 50/box 125 micron Full Diameter"",""price"":14995}]"
16000,"3M PPS 22 Ounce Standard Lids & Liners, 200 micron filters","[{""name"":""Single Lid/Liner (16000-SINGLE)"",""price"":399},{""name"":""Full Case/50 (16000)"",""price"":13695}]","[""Not All Prices Match"",{""name"":""3M PPS Lids/Liner STANDARD SINGLE 200 micron Partial Diameter"",""price"":425},{""name"":""3M PPS Lids/Liner STANDARD 50/box 200 micron Partial Diameter"",""price"":13995},""Parenthesis"",""Success-2"",{""name"":""3M PPS Lids/Liner STANDARD SINGLE 200 micron Partial Diameter"",""price"":425},{""name"":""3M PPS Lids/Liner STANDARD 50/box 200 micron Partial Diameter"",""price"":13995}]"
16325,"3M PPS 28 Ounce Large Lids & Liners, 125 micron filters (blue)","[{""name"":""Single Lid/Liner (16325-SINGLE)"",""price"":419},{""name"":""Full Case/25 (16325)"",""price"":8795}]","[""Not All Prices Match"",{""name"":""3M PPS Lids/Liners LARGE 125 micron SINGLE Full Diameter"",""price"":450},{""name"":""3M PPS Lids/Liners LARGE 125 micron 25/Box Full Diameter"",""price"":8795},""Parenthesis"",""Success-2"",{""name"":""3M PPS Lids/Liners LARGE 125 micron SINGLE Full Diameter"",""price"":450},{""name"":""3M PPS Lids/Liners LARGE 125 micron 25/Box Full Diameter"",""price"":8795}]"
16024,"3M PPS 28 Ounce Large Lids & Liners, 200 micron filters","[{""name"":""Single Lid/Liner (16024-SINGLE)"",""price"":419},{""name"":""Full Case/25 (16024)"",""price"":8095}]","[""Not All Prices Match"",{""name"":""3M PPS Lids/Liners LARGE 200 micron SINGLE Partial Diameter"",""price"":450},{""name"":""3M PPS Lids/Liners LARGE 200 micron 25/Box Partial Diameter"",""price"":8795},""Parenthesis"",""Success-2"",{""name"":""3M PPS Lids/Liners LARGE 200 micron SINGLE Partial Diameter"",""price"":450},{""name"":""3M PPS Lids/Liners LARGE 200 micron 25/Box Partial Diameter"",""price"":8795}]"
16328,"3M PPS 3 Ounce Lids & Liners, 125 micron filters (blue)","[{""name"":""Single Lid/Liner (16328-SINGLE)"",""price"":299},{""name"":""Full Case/50 (16328)"",""price"":9695}]","[""Not All Prices Match"",{""name"":""3M PPS Lids/Liners 3oz  SINGLE 125 microns."",""price"":299},{""name"":""3M PPS Lids/Liners 3oz  50/Box 125 microns."",""price"":9665},""Parenthesis"",""Success-2"",{""name"":""3M PPS Lids/Liners 3oz  SINGLE 125 microns."",""price"":299},{""name"":""3M PPS Lids/Liners 3oz  50/Box 125 microns."",""price"":9665}]"
16314,"3M PPS 5.5 Ounce Mini Lids & Liners, 125 micron filters (blue)","[{""name"":""Single Lid/Liner (16314-SINGLE)"",""price"":299},{""name"":""Full Case/50 (16314)"",""price"":10995}]","[""Success-1"",{""name"":""3M PPS Lids/Liners MINI 6oz SINGLE 125 micron"",""price"":299},{""name"":""3M PPS Lids/Liners MINI 6oz 50/box 125 micron"",""price"":10995}]"
16114,"3M PPS 5.5 Ounce Mini Lids & Liners, 200 micron filters","[{""name"":""Single Lid/Liner (16114-SINGLE)"",""price"":299},{""name"":""Full Case/50 (16114)"",""price"":10695}]","[""Not All Prices Match"",{""name"":""3M PPS Lids/Liners MINI 6oz SINGLE 200 micron"",""price"":325},{""name"":""3M PPS Lids/Liners MINI 6oz 50/box 200 micron"",""price"":10995},""Parenthesis"",""Success-2"",{""name"":""3M PPS Lids/Liners MINI 6oz SINGLE 200 micron"",""price"":325},{""name"":""3M PPS Lids/Liners MINI 6oz 50/box 200 micron"",""price"":10995}]"
0652,3M Precision Masking Tape,"[{""name"":""1/4\"" x 60 yds (6525)"",""price"":748},{""name"":""3/4\"" x 60 yds (6526)"",""price"":748},{""name"":""1-1/2\"" x 60 yds (6527)"",""price"":1348},{""name"":""2\"" x 60 yds (6528)"",""price"":1553}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""3M Precision Tape GREEN ¼\""x60yd"",""price"":927},{""name"":""3M Precision Tape GREEN ¾\""x60yd"",""price"":748},{""name"":""3M Precision Tape GREEN 1½\""x60yd"",""price"":1348},{""name"":""3M Precision Tape GREEN 2\""x60yd"",""price"":1553}]"
363,3M Precision Poly Tape,"[{""name"":""1/8\"" x 60 yds / 3mm (36350)"",""price"":1252},{""name"":""1/4\"" x 60 yds / 6mm (36351)"",""price"":1325},{""name"":""1/2\"" x 60 yds / 12mm (36353)"",""price"":1725},{""name"":""3/4\"" x 60 yds / 18mm (36354)"",""price"":750},{""name"":""1-1/2\""\"" x 60 yds  / 36mm (36356)"",""price"":995},{""name"":""2\"" x 60 yds / 48mm (36357)"",""price"":1333}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""3M™ Precision Poly Tape 1/8\"" x 60yd Roll"",""price"":1252},{""name"":""3M™ Precision Poly Tape 1/4\"" x 60yd Roll"",""price"":1325},{""name"":""3M™ Precision Poly Tape 1/2\"" x 60yd Roll"",""price"":1725},{""name"":""3M™ Precision Poly Tape 3/4\"" x 60yd Roll"",""price"":750},{""name"":""3M™ Precision Poly Tape 1.5\"" x 60yd Roll"",""price"":995},{""name"":""3M™ Precision Poly Tape 2\""x 60yd Roll"",""price"":1333}]"
STIKIT125,"3M Stikit Gold Disk Roll 6"" 125 Disks per Box","[{""name"":""120 Grit #01441"",""price"":8220},{""name"":""150 Grit #01440"",""price"":11425},{""name"":""180 Grit #01439"",""price"":11425},{""name"":""220 Grit #01380"",""price"":11425},{""name"":""280 Grit #01436"",""price"":11425},{""name"":""320 Grit #01435"",""price"":11425},{""name"":""360 Grit #01434"",""price"":11425},{""name"":""400 Grit #01433"",""price"":11425},{""name"":""500 Grit #01432"",""price"":11425}]","[""No Suggestions""]"
STIKIT75,"3M Stikit Gold Disk Roll 6"" 75 Disks per Box","[{""name"":""80 Grit #01213"",""price"":4500},{""name"":""120 Grit #01211"",""price"":4100},{""name"":""180 Grit #01209"",""price"":4100},{""name"":""220 Grit #01208"",""price"":4100},{""name"":""280 Grit #01206"",""price"":4100},{""name"":""320 Grit #01205"",""price"":4100},{""name"":""400 Grit #01203"",""price"":4100},{""name"":""500 Grit #01202"",""price"":4100}]","[""No Suggestions""]"
STIKITROLL,"3M Stikit Gold Sheet Roll 2-3/4"" x 25 yd","[{""name"":""80 Grit #02599"",""price"":0},{""name"":""180 Grit #02595"",""price"":0},{""name"":""220 Grit #02594"",""price"":0},{""name"":""320 Grit #02591"",""price"":0},{""name"":""400 Grit #02590"",""price"":0},{""name"":""500 Grit #02589"",""price"":0}]","[""No Suggestions""]"
WET/DRY,3M Wet/Dry Sand Paper,"[{""name"":""220 Grit (32043)"",""price"":775},{""name"":""320 Grit (32040)"",""price"":775},{""name"":""400 Grit (32038)"",""price"":775},{""name"":""500 Grit (32037)"",""price"":775},{""name"":""600 Grit (32036)"",""price"":775},{""name"":""800 Grit (32035)"",""price"":775},{""name"":""1000 Grit (32021)"",""price"":1025},{""name"":""1200 Grit (32022)"",""price"":1025},{""name"":""1500 Grit (32023)"",""price"":1050},{""name"":""2000 Grit (32044)"",""price"":1075}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""3M Wet/Dry Sand Paper  220 GRIT 5/pack"",""price"":775},{""name"":""3M Wet/Dry Sand Paper  320 GRIT 5/pack"",""price"":775},{""name"":""3M Wet/Dry Sand Paper  400 GRIT 5/pack"",""price"":775},{""name"":""3M Wet/Dry Sand Paper  500 GRIT 5/pack"",""price"":775},{""name"":""3M Wet/Dry Sand Paper  600 GRIT 5/pack"",""price"":775},{""name"":""3M Wet/Dry Sand Paper  800 GRIT 5/pack"",""price"":775},{""name"":""3M Wet/Dry Sand Paper  1000 GRIT 5/pack"",""price"":1025},{""name"":""3M Wet/Dry Sand Paper  12000 GRIT 5/pack"",""price"":1025},{""name"":""3M Wet/Dry Sand Paper  1500 GRIT 5/pack"",""price"":1050},{""name"":""3M Wet/Dry Sand Paper  2000 GRIT 5/pack"",""price"":1075}]"
HOOKIT,"3M� Hookit� Purple Clean Sanding 6"" Disks Box of 50","[{""name"":""80 Grit #01820"",""price"":6455},{""name"":""150 Grit #01817"",""price"":5421},{""name"":""180 Grit #01816"",""price"":5393},{""name"":""220 Grit #01815"",""price"":5393},{""name"":""320 Grit #01812"",""price"":5393},{""name"":""400 Grit #01811"",""price"":5393},{""name"":""500 Grit #01810"",""price"":5393}]","[""No Suggestions""]"
HOOKIT-FINISH,"3M� Purple Finishing Film Hookit� Disc, 6"" Box of 50","[{""name"":""1000 Grit #30669"",""price"":0},{""name"":""1500 Grit #30667"",""price"":0}]","[""No Suggestions""]"
HOOKIT-TRIZACT,"3M� Trizact� Hookit� Blending Disc, 6"" Box of 25","[{""name"":""1000 Grit #02090"",""price"":11461},{""name"":""1500 Grit #02088"",""price"":8231},{""name"":""3000 Grit #02085"",""price"":11645}]","[""No Suggestions""]"
4011,4011 Reducer,"[{""name"":""4oz"",""price"":525},{""name"":""8oz"",""price"":1025},{""name"":""16oz"",""price"":1425},{""name"":""32oz"",""price"":2325}]","[""More Suggestions:5"",{""name"":""Createx 4011 Flash Reducer  2oz"",""price"":295},{""name"":""Createx 4011 Flash Reducer  16oz"",""price"":1425},{""name"":""Createx 4011 Flash Reducer  8oz"",""price"":1025},{""name"":""Createx 4011 Flash Reducer  4oz"",""price"":525},{""name"":""Createx 4011 Flash Reducer  32oz"",""price"":2325}]"
4012,4012 High Performance Reducer,"[{""name"":""2oz (4012-02)"",""price"":295},{""name"":""4oz (4012-04)"",""price"":525},{""name"":""8oz (4012-08)"",""price"":1025},{""name"":""16oz (4012-16)"",""price"":1425},{""name"":""32oz (4012-32)"",""price"":2325}]","[""More Suggestions:6"",{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 2oz"",""price"":295},{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 4oz"",""price"":525},{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 8oz"",""price"":1025},{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 16oz"",""price"":1425},{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 32oz"",""price"":2325},{""name"":""High Performance Reducer 4012 Auto-Air/Wicked Gallon"",""price"":10700},""Parenthesis"",""Success-2"",{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 2oz"",""price"":295},{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 4oz"",""price"":525},{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 8oz"",""price"":1025},{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 16oz"",""price"":1425},{""name"":""High Performance Reducer 4012 Auto-Air/Wicked 32oz"",""price"":2325}]"
4013,4013 Reducer,"[{""name"":""2oz"",""price"":410},{""name"":""4oz"",""price"":625},{""name"":""8oz"",""price"":1199},{""name"":""16oz"",""price"":1710},{""name"":""32oz"",""price"":2699}]","[""More Suggestions:6"",{""name"":""Createx 4013 Reducer Gallon"",""price"":0},{""name"":""Createx 4013 Reducer 4oz"",""price"":625},{""name"":""Createx 4013 Reducer 16oz"",""price"":1710},{""name"":""Createx 4013 Reducer 8oz"",""price"":1199},{""name"":""Createx 4013 Reducer 32oz"",""price"":2699},{""name"":""Createx 4013 Reducer 2oz"",""price"":410}]"
4050,4050 Createx UVLS Gloss Clear,"[{""name"":""2oz (4050-02)"",""price"":599},{""name"":""4oz 1/4PINT (4050-04)"",""price"":1099},{""name"":""8oz 1/2PINT (4050-08)"",""price"":1999},{""name"":""16oz PINT (4050-16)"",""price"":3599},{""name"":""32oz QUART (4050-32)"",""price"":6599},{""name"":""128oz GALLON (4050-12)"",""price"":22999}]","[""Success-1"",{""name"":""Createx UVLS  4050 GLOSS 2oz"",""price"":599},{""name"":""Createx UVLS  4050 GLOSS 4oz"",""price"":1099},{""name"":""Createx UVLS  4050 GLOSS 8oz"",""price"":1999},{""name"":""Createx UVLS  4050 GLOSS 16oz"",""price"":3599},{""name"":""Createx UVLS  4050 GLOSS 32oz"",""price"":6599},{""name"":""Createx UVLS  4050 GLOSS Gallon"",""price"":22999}]"
4051,4051 Createx UVLS Satin Clear,"[{""name"":""2oz (4051-02)"",""price"":599},{""name"":""4oz 1/4PINT (4051-04)"",""price"":1099},{""name"":""8oz 1/2PINT (4051-08)"",""price"":1999},{""name"":""16oz PINT (4051-16)"",""price"":3599},{""name"":""32oz QUART (4051-32)"",""price"":6599},{""name"":""128oz GALLON (4051-12)"",""price"":22999}]","[""Success-1"",{""name"":""Createx UVLS  4051 SATIN 2oz"",""price"":599},{""name"":""Createx UVLS  4051 SATIN 4oz"",""price"":1099},{""name"":""Createx UVLS  4051 SATIN 8oz"",""price"":1999},{""name"":""Createx UVLS  4051 SATIN 16oz"",""price"":3599},{""name"":""Createx UVLS  4051 SATIN 32oz"",""price"":6599},{""name"":""Createx UVLS  4051 SATIN Gallon"",""price"":22999}]"
4052,4052 Createx UVLS Matte Clear,"[{""name"":""2oz (4052-02)"",""price"":599},{""name"":""4oz 1/4PINT (4052-04)"",""price"":1099},{""name"":""8oz 1/2PINT (4052-08)"",""price"":1999},{""name"":""16oz PINT (4052-16)"",""price"":3599},{""name"":""32oz QUART (4052-32)"",""price"":6599},{""name"":""128oz GALLON (4052-12)"",""price"":22999}]","[""Success-1"",{""name"":""Createx UVLS  4052 MATTE 2oz"",""price"":599},{""name"":""Createx UVLS  4052 MATTE 4oz"",""price"":1099},{""name"":""Createx UVLS  4052 MATTE 8oz"",""price"":1999},{""name"":""Createx UVLS  4052 MATTE 16oz"",""price"":3599},{""name"":""Createx UVLS  4052 MATTE 32oz"",""price"":6599},{""name"":""Createx UVLS  4052 MATTE Gallon"",""price"":22999}]"
4PET,4oz Clear Bottle w/ Choice of Lid,"[{""name"":""4oz w/ Twist Cap (4PT)"",""price"":0},{""name"":""4oz w/ Flip Top BLACK Cap (4PFB)"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Clear Bottles 4oz 20mm Twist"",""price"":115},{""name"":""Clear Bottles 4oz 20mm Flip Top Black"",""price"":115}]"
8PET,8oz Clear Bottle w/ Choice of Lid,"[{""name"":""8oz w/ Flip Spout Cap (8PF)"",""price"":0},{""name"":""8oz w/ Flip Top WHITE Cap (8PFT)"",""price"":0},{""name"":""8oz w/ Flip Top BLACK Cap (8PFB)"",""price"":0},{""name"":""8oz w/ Twist Cap (8PT)"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Clear Bottles 8oz 24mm Flip Spout White"",""price"":135},{""name"":""Clear Bottles 8oz 24mm Flip Top White"",""price"":135},{""name"":""Clear Bottles 8oz 24mm Flip Top Black"",""price"":135},{""name"":""Clear Bottles 8oz 24mm Twist"",""price"":135}]"
AP01,Adherto Adhesion Promotor,"[{""name"":""4oz"",""price"":988},{""name"":""8oz"",""price"":1796},{""name"":""16oz (Pint)"",""price"":3265},{""name"":""32oz (Quart)"",""price"":4571}]","[""Not All Prices Match"",{""name"":""HoK AP01 Adhereto (for Plastic & Metals) 4oz"",""price"":1252},{""name"":""HoK AP01 Adhereto (for Plastic & Metals) 8oz"",""price"":2276},{""name"":""HoK AP01 Adhereto (for Plastic & Metals) 16oz"",""price"":4138},{""name"":""HoK AP01 Adhereto (for Plastic & Metals) 32oz"",""price"":5793}]"
AZ3HV2,Air Gunsa HVLP Spray Gun,"[{""name"":""1.3 (9230)"",""price"":0},{""name"":""1.5 (9231)"",""price"":0},{""name"":""1.8 (9232)"",""price"":0},{""name"":""2.0 (9233)"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Air Gunsa HVLP Spray Gun 1.3mm"",""price"":19900},{""name"":""Air Gunsa HVLP Spray Gun 1.5mm"",""price"":19900},{""name"":""Air Gunsa HVLP Spray Gun 1.8mm"",""price"":19900},{""name"":""Air Gunsa HVLP Spray Gun 2.0mm"",""price"":19900}]"
AQ101,Alabaster Foundation,"[{""name"":""1 oz"",""price"":1695},{""name"":""4 oz"",""price"":5995}]","[""Success-1"",{""name"":""Temptu Aqua Foundation #101 Alabaster 1oz"",""price"":1695},{""name"":""Temptu Aqua Foundation #101 Alabaster 4oz"",""price"":5995}]"
DP24,Alabaster White,"[{""name"":""1/2 oz by vol."",""price"":1295},{""name"":""2 oz"",""price"":3070}]","[""Not All Prices Match"",{""name"":""HoK Dry Pearl DP24 Alabaster White ½oz"",""price"":1495},{""name"":""HoK Dry Pearl DP24 Alabaster White 2oz"",""price"":3895}]"
AJ/EL,Alan Johnson Extreme Liner,"[{""name"":""AJ/EL-0 (1\"")"",""price"":540},{""name"":""AJ/EL-1 (1-1/4\"")"",""price"":595},{""name"":""AJ/EL-2 (1-3/8\"")"",""price"":644}]","[""Not All Prices Match"",{""name"":""Mack AJ/EL #0 Alan Johnson Extreme Liner (1\"")"",""price"":540},{""name"":""Mack AJ/EL #1 Alan Johnson Extreme Liner (1 1/4\"")"",""price"":565},{""name"":""Mack AJ/EL #2 Alan Johnson Extreme Liner (1 3/8\"")"",""price"":575},""Parenthesis"",""Match Number: 0""]"
AJ/MD,Alan Johnson Mini Detailer,"[{""name"":""AJ/MD-1 (14/16\"")"",""price"":300},{""name"":""AJ/MD-2 (1\"")"",""price"":335}]","[""Not All Prices Match"",{""name"":""Mack AJ/MD #1 Alan Johnson Mini Detailer"",""price"":300},{""name"":""Mack AJ/MD #2 Alan Johnson Mini Detailer"",""price"":420},""Parenthesis"",""Match Number: 0""]"
S2-18,Alani Orange FX Base,"[{""name"":""4oz"",""price"":1541},{""name"":""8oz"",""price"":2802},{""name"":""16oz"",""price"":5094},{""name"":""24oz (Quart Can)"",""price"":7420}]","[""Not All Prices Match"",{""name"":""HoK S2 FX Karrier Base 18 Alani Orange 4oz"",""price"":2343},{""name"":""HoK S2 FX Karrier Base 18 Alani Orange 8oz"",""price"":4261},{""name"":""HoK S2 FX Karrier Base 18 Alani Orange 16oz"",""price"":7747},{""name"":""HoK S2 FX Karrier Base 18 Alani Orange 32oz"",""price"":9405}]"
C5400,All 10 Fluorescent Color Set,"[{""name"":""2 oz"",""price"":3249},{""name"":""4 oz"",""price"":5058},{""name"":""8 oz"",""price"":9783},{""name"":""16 oz"",""price"":18189},{""name"":""32 oz"",""price"":29997}]","[""Success-1"",{""name"":""Createx All 10 Fluorescent Color Set 2oz"",""price"":3249},{""name"":""Createx All 10 Fluorescent Color Set 4oz"",""price"":5058},{""name"":""Createx All 10 Fluorescent Color Set 8oz"",""price"":9783},{""name"":""Createx All 10 Fluorescent Color Set 16oz"",""price"":18189},{""name"":""Createx All 10 Fluorescent Color Set 32oz"",""price"":29997}]"
C5200,All 11 Opaque Color Set,"[{""name"":""2 oz"",""price"":3574},{""name"":""4 oz"",""price"":5564},{""name"":""8 oz"",""price"":10761},{""name"":""16 oz"",""price"":20008},{""name"":""32 oz"",""price"":32997}]","[""Success-1"",{""name"":""Createx All 11 Opaque Color Set 2oz"",""price"":3574},{""name"":""Createx All 11 Opaque Color Set 4oz"",""price"":5564},{""name"":""Createx All 11 Opaque Color Set 8oz"",""price"":10761},{""name"":""Createx All 11 Opaque Color Set 16oz"",""price"":20008},{""name"":""Createx All 11 Opaque Color Set 32oz"",""price"":32997}]"
C5300,All 17 Pearl Color Set,"[{""name"":""2 oz"",""price"":5523},{""name"":""4 oz"",""price"":8599},{""name"":""8 oz"",""price"":16631},{""name"":""16 oz"",""price"":31839}]","[""Success-1"",{""name"":""Createx All 17 Pearl Color Set 2oz"",""price"":5523},{""name"":""Createx All 17 Pearl Color Set 4oz"",""price"":8599},{""name"":""Createx All 17 Pearl Color Set 8oz"",""price"":16631},{""name"":""Createx All 17 Pearl Color Set 16oz"",""price"":31839}]"
C5100,All 32 Transparent Set,"[{""name"":""2 oz"",""price"":10397},{""name"":""4 oz"",""price"":16186},{""name"":""8 oz"",""price"":30557},{""name"":""16 oz"",""price"":58205},{""name"":""32 oz"",""price"":95990}]","[""Success-1"",{""name"":""Createx All 32 Transparent Colors  2oz"",""price"":10397},{""name"":""Createx All 32 Transparent Colors  4oz"",""price"":16186},{""name"":""Createx All 32 Transparent Colors  8oz"",""price"":30557},{""name"":""Createx All 32 Transparent Colors  16oz"",""price"":58205},{""name"":""Createx All 32 Transparent Colors  32oz"",""price"":95990}]"
C5500,All 8 Iridescent Color Set,"[{""name"":""2 oz"",""price"":3650},{""name"":""4 oz"",""price"":6494},{""name"":""8 oz"",""price"":11419}]","[""Success-1"",{""name"":""Createx All 8 Iridescent Color Set 2oz"",""price"":3650},{""name"":""Createx All 8 Iridescent Color Set 4oz"",""price"":6494},{""name"":""Createx All 8 Iridescent Color Set 8oz"",""price"":11419}]"
S2-LEKIT,All 9 Limited Edition Color Set,"[{""name"":""4oz"",""price"":14625},{""name"":""8oz"",""price"":26050},{""name"":""16oz"",""price"":48550}]","[""No Suggestions""]"
