"sectionID","sectionName","sectionWorkingName","sectionImage","topSection","sectionOrder","rootSection","sectionDisabled","sectionURL","sectionDescription"
103,"Badger Airbrushes","Badgers","prodimages/badgerlogo.gif",29,82,1,0,"","100<br>
155<br>
175<br>
Sotar2020<br>
360<br>
3155<br>"
106,"Airbrush Action","ABA Videos","http://www.coastairbrush.com/prodimages/logoaba.png",14,2,0,0,"",""
107,"House Of Kolor","HOK Videos","http://www.coastairbrush.com/images/logohok.png",14,3,1,127,"",""
233,"Airbrush Parts / Exploded Views","Parts/Schematics","",0,208,0,0,"",""
463,"Scharff Brushes","Scharff","prodimages/scharfflogo.gif",21,17,1,0,"",""
464,"Bobbo-Mack","Bobbo-Mack","prodimages/bobbomack.gif",200,419,1,0,"",""
10,"Airbrushes","Airbrushes","",0,1,0,0,"","Iwata<br>Paasche<br>Badger<br>Thayer & Chandler<br>Tamiya<br>Aztek</br>"
11,"Paint / Flakes","Paint/Flakes","",0,2,0,0,"","House Of Kolor<br>Createx<br>Auto Air<br>Comart<br>Holbein<br>Medea Textile<br>Aqua Flow<br>Tamiya<br>One Shot<br>Temptu<br>Old School Flake<br>Alsa<br>Allchem<br>Nail Art, Airbrush Tanning</br>"
12,"Spray Guns","Spray Guns","",0,4,0,0,"","Iwata<br>SATA<br>Devilbiss<br>Air Gunsa<br>Dura-Block<br>Astro Pneumatic</br>"
13,"Compressors","Compressors","",0,5,0,0,"","*FREE SHIPPING ON COMPRESSORS<br>DISCOUNT WILL BE TAKEN AFTER CHECKOUT*<b><br>Medea Shark Series<br>Medea Studio Series<br>Silentaire<br>Scorpions<br>KopyKake<br>CO2 & Propellant</br>"
14,"Videos / DVD'S","Videos","",0,6,0,0,"","Airbrush Action<br>Auto Air<br>House Of Kolor<br>Killer Paint<br>Steve Kafka<br>Mad Fabricators<br>Old School Flake</br>"
15,"Projectors / Light Boxes","Projectors","",0,7,0,0,"","Artograph<br>KopyKake<br>Stands & Table Clamps</br>"
16,"Easels / Shirt Boards","Easels","",0,8,1,0,"","DH Woodworks<br>Xylem Designs<br>Smokin' Paint<br>House of Kolor Cycle Stands</br>"
17,"Canvas / Illustration Board","Canvas","",22,9,1,127,"","<p>Coast Airbrush offers a custom canvas by <a href=""http://www.noahfineart.com"">Noah</a>. It is made of a 7oz cotton duct that is primed & gessoed twice, then heat pressed. It's ultra smooth surface allows for easy scratching & erasing techniques. The canvas is stretched around a wooden frame then held in place with a rubber beading. NO staples are used. They can be framed or unframed.</p>"
18,"Spray Booths","Spray Booths","",0,10,1,0,"","Artograph<br>Paasche<br>Spray Tech</br>"
19,"Templates / Stencils","Templates","",0,11,0,0,"","Artool<br>Temptu<br>Tattoo GooRoo<br>Auto Air Flame<br>Nail Master</br>"
20,"Automotive Painting Supplies","Automotive Painting Supplies","",0,12,0,0,"","Aluminum Sign Blanks here<br>
Masking Materials<br>
Automask<br>
Tape<br>"
21,"Striping & Lettering Supplies","Striping & Lettering","",0,13,0,0,"","Lettering Enamels<br>Brushes & Stripers<br>Leafing Supplies<br>Pinstriping Kits<br>Brush Care & Accessories</br>"
22,"Fine Art Supplies","Fine Art Supplies","",0,14,0,0,"","Canvas<br>Illustration Board<br>Frisk Film<br>Templates<br>Erasers & knives<br>Practice Sheets<br>Varnish / Adhesives & SAVET</br>"
23,"Stencil / Masking Material","Stencil Supplies","",0,15,1,0,"",""
24,"Books / Magazines","Books","",0,16,0,0,"",""
25,"Bottles/ Hoses/ Quick Disconnects","Bottles/Hoses","",0,17,0,0,"",""
26,"Iwata","Iwata","images/logoiwataW.png",10,0,0,0,"","<font color=""white"">*FREE SHIPPING on Iwata Airbrushes<br>Within the US 48 States*<br></font>PROMOTION FOR ONLINE ORDERS ONLY<br>Standard shipping applies to other items in order. Some exclusions apply."
27,"Tamiya","Tamiya","images/logotamiyaW.png",10,8,0,0,"",""
28,"Paasche","Paasche","images/logopaascheW.png",10,4,0,0,"",""
29,"Badger","Badger","images/logobadgerW.png",10,7,0,0,"",""
30,"Thayer & Chandler","Thayer & Chandler","images/logothayerW.png",10,9,1,0,"",""
31,"Aztek","Aztek","images/logoaztekW.png",10,10,1,0,"",""
32,"Eclipse Series","Eclipse Series","images/logoeclipseW.png",26,3,1,0,"",""
33,"Revolution Series","Revolution Series","images/logorevolutionW.png",26,4,1,0,"",""
34,"High Performace Series","High Performance Series","images/logohighperformW.png",26,5,1,0,"",""
35,"Hi-Line Series","Hi-Line Series","images/logohilineW.png",26,6,1,0,"",""
36,"Custom Micron Series","Custom Micron Series","images/logomicronW.png",26,8,1,0,"",""
37,"Anest Iwata","Anest Iwata","images/logoanestiwataW.png",12,1,1,0,"","<a href=""https://www.coastairbrush.com/categories.asp?cat=465"">CLICK HERE FOR IWATA SPRAY GUN PARTS</a>"
38,"Sata","Sata","images/logosataW.png",12,4,0,0,"","<div align=""center"">PLEASE CALL 1-888-KOLORIT<br> FOR SATA PRODUCTS AND PRICING</div></br>"
39,"DeVilbiss","DeVilbiss","images/logodevilbissW2.png",12,6,1,0,"",""
40,"Astro Pneumatic","Astro Pneumatic","images/logoastroWHT.png",12,8,1,0,"",""
42,"Dura-Block","Dura-Block","images/logodurablockblue.png",12,9,1,0,"",""
43,"Flake King","Flake King","prodimages/logoFlakeKingWHT.png",12,10,1,0,"",""
44,"House Of Kolor","HOK","images/logohok.png",11,0,0,0,"",""
49,"Shimrin Designer Pearls (PBC)","Shimrin Pearls","prodimages/PBC100.gif",44,5,1,0,"","<p>Designer Pearls are Universal Base Coats that come in a large array of colors andmay simply be cleared over for a final finish or used as a base coat for Kandys, or Pearls. They can be top coated with either acrylic lacquer or urethane enamels.</ p>"
50,"Marblizer (MB)","Marblizer","prodimages/MB02.gif",44,6,1,0,"","<p>Marblizer Artistic Bases offer you an exciting paint finish.With Marblizer you can achieve the appearance of a deep marble, snake skin, plus many other effects. Marblizer is a Universal Base that can be simply cleared over or be used as a base coat for Kandy. They can be cleared with acrylic lacquers or urethane enamels.
IMPORTANT: SG100 is required if applying urethane clears or urethane kandys over Marblizer. </ p>"
51,"Shimrin Graphic Kolors Solid Bases (SG, BC25 & BC26)","Solid Bases","prodimages/SG101.gif",44,7,1,0,"","<p>The SHIMRIN® Graphic Kolors (SG) along with BC25 Black, BC26 White are universal base coats that may simply be cleared for a final finish, or used as a base coat for Kandys or Pearls. Due to their unique chemistry they may be top coated with either an acrylic lacquer or urethane enamel. </ p>"
52,"Shimrin Metallic Bases (BC & FBC))","Shimrin Metallic Bases","prodimages/FBC07.gif",44,8,1,0,"","<p>Available in coarse or ultra-fine metallic, each offers full coverage in 3-4 coats.Clear for a final finish, or use as a base for Kandys. </ p>"
53,"Createx Airbrush Colors","Createx","prodimages/logocreatexAB.png",11,8,0,0,"","<a href=""http://www.coastairbrush.com/createxhowto.html"">Click Here For How to Articles</a>"
54,"Transparent Colors","Transparent Colors","images/c5100.jpg",53,41,1,0,"",""
55,"Opaque Colors","Opaque Colors","prodimages/c5200.jpg",53,42,1,0,"",""
56,"Fluorescent Colors","Fluorescent Colors","prodimages/c5400.jpg",53,43,1,0,"",""
57,"Pearlescent Colors","Pearlescent Colors","images/c5300.jpg",53,44,1,0,"",""
58,"Iridescent Colors","Iridescent Colors","prodimages/c5500.jpg",53,45,1,0,"",""
108,"Auto Air","AA Videos","http://www.coastairbrush.com/images/logoautoair.png",14,4,1,0,"",""
226,"Kustom FX 3 by Craig Fraser","Kustom FX 3","prodimages/kustomfx3.gif",731,20,1,0,"",""
227,"DVD's By Mike Lavallee of Killer Paint","Lavallee DVD","prodimages/logokillerpaintwht.png",14,5,1,0,"",""
228,"Steve Kafka DVD","DVD-Kafka","http://www.coastairbrush.com/prodimages/logokafka.png",14,6,1,127,"",""
229,"Old School Flake DVD","DVD-OSF","http://www.coastairbrush.com/images/logooldschoolflake.png",14,7,1,127,"",""
230,"Vega Airbrushes","Vega Airbrushes","",30,205,1,0,"",""
231,"Omni Airbrushes","Omni Airbrushes","",30,206,1,0,"",""
232,"Tattoo Stencil","Temptu Stencils","http://www.coastairbrush.com/images/logotemptu.png",19,2,1,0,"",""
234,"Iwata Parts","Iwata Parts","images/logoiwataW.png",233,209,0,0,"","<br><font color=""yellow"">Coast Airbrush only carries genuine factory replacement parts and accessories directly from Iwata.<br><br>"
235,"Badger / Thayer & Chandler Parts","Badger Parts","images/logobadgerW.png",233,210,0,0,"",""
236,"Paasche Parts","Paasche Parts","images/logopaascheW.png",233,211,0,0,"",""
237,"Aztek Parts & Accessories","Aztek Parts","images/logoaztekW.png",233,212,1,0,"",""
239,"High Performance PLUS Parts","HP PLUS Parts","images/logohpplusW.png",234,1,1,0,"http://www.coastairbrush.com/partsairbrush/plusparts.asp","HP-A+<br>HP-B+<br>HP-SB+<br>HP-C+<br>HP-BC+</br>"
109,"Beginning Airbrush Titles","Videos-Beginner","",106,86,1,0,"",""
110,"Automotive Titles","Videos-Auto","",106,87,1,0,"",""
111,"Illustration/Canvas titles","Videos-ILL/Canvas","",106,88,1,0,"",""
112,"T-Shirt Titles","Videos-T-Shirt","",106,89,1,0,"",""
113,"Pinstriping Titles","Videos-Pinstriping","",106,90,1,0,"",""
114,"Body Art / Tattoo","Videos-Body & Tattoo","",106,91,1,0,"",""
115,"Maintenance & Repair Titles","Videos-Maintenance","",106,92,1,0,"",""
116,"Series 4200 Fluorescent Colors","Fluorescent-AA","images/aafluoro.jpg",774,7,1,0,"",""
117,"Series 4400 Hi-Lite Interference Colors","Hi-Lite Colors","images/aahilite.jpg",774,8,1,0,"",""
118,"Series 4300 Pearlized Colors","Pearlized Colors-AA","images/aapearlized.jpg",774,9,1,0,"",""
119,"Series 4300 Metallic Colors","Metallic-AA","images/aametallic.jpg",774,10,1,0,"",""
120,"Series 4300 Iridescent Colors","Iridescents-AA","images/aairidescent.jpg",774,11,1,0,"",""
121,"Series 4400 Gem Chameleon Colors","Gem Chameleon Colors","images/aaGEMchameleon.jpg",774,12,1,127,"",""
122,"Series 4400 Chameleon Flair Colors","Flair Tint Colors","images/aachameleonFLAIR.jpg",774,13,1,0,"",""
123,"Series 4500 Sparklescent Colors","Sparklescent","images/aasparklescent.jpg",774,14,1,0,"",""
124,"Series 4500 Cosmic Sparkle Colors","Cosmic Sparkle","images/aacosmicsparkle.jpg",774,15,1,0,"",""
125,"Series 4500 Hot Rod Sparkle Colors","Hot Rod Sparkle Colors","images/aahotrod.jpg",774,17,1,0,"",""
127,"Series 4600 Candy Colors","Candy Colors-AA","images/aacandypig.jpg",774,16,1,0,"",""
128,"Reducers/Cleaners/Additives","Additives/Sealers-AA","images/aacleaners1.jpg",774,0,1,0,"",""
129,"Auto Air Color Sets","Sets-AA","images/aacolorsetsSM1.jpg",61,1,1,0,"",""
130,"Tamiya Color Flat Acrylic 23ml","Tamiya-Flat 23ml","prodimages/tamiyapaint.gif",92,108,1,0,"",""
131,"Tamiya Color Acrylic Paint 23ml","Tamiya-Acrylic 23ml","prodimages/tamiyapaint.gif",92,109,1,0,"",""
132,"Opaque Colors","Comart-Opaque","prodimages/comart.gif",91,111,1,0,""," Fourty-four even rich, dense colours that spray smoothly and resist clogging. Heavily pigmented with the finest ground pigments available, these colours produce brilliant results and accurate four-colour separations."
133,"Transparent Colors","Comart-Transparent","prodimages/comart.gif",91,112,1,0,""," The perfect match for Com-Art Opaque Colours, transparents come in 24 non-fading, pigmented colours. Using the same formulation as the opaque colours, transparents can be intermixed with the opaques or sprayed over the top for glazing"
134,"Photo Grey Colors","Comart-Photo Grey","prodimages/comart.gif",91,113,1,0,""," Six neutral grays, along with warm and cool additives, photo white and black make these colours excellent for B&W photo retouching or illustration."
135,"Metallic & Pearlescent Colors","Comart-Specialty","prodimages/comart.gif",91,114,1,0,"",""
136,"Varnish & Cleaner","Comart-Varnish/Cleaner","prodimages/6-500.gif",91,115,1,0,"",""
137,"Comart Color Sets","Comart-Sets","prodimages/comart.gif",91,116,1,0,"",""
138,"Opaque Colors","AeroFlash-Opaque","prodimages/aeroflsh.gif",93,117,1,0,"",""
139,"Transparent Colors","AeroFlash-Transparent Colors","prodimages/aeroflsh.gif",93,118,1,0,"",""
141,"Aqua Flow","Aqua Flow","images/logoaquaflow.png",11,35,0,0,"",""
142,"Transparent Colors","Aqua Flow-Transparent","prodimages/aquaflowlogo.gif",141,120,1,0,"",""
143,"Opaque Colors","Aqua Flow-Opaque","prodimages/aquaflowlogo.gif",141,121,1,0,"",""
144,"Additives","Aqua Flow-Additives","prodimages/aquaflowlogo.gif",141,122,1,0,"",""
145,"Old School Flake","OSF","images/logooldschoolflake.png",11,38,0,127,"",""
146,"Regular Flake","OSF-Regular","http://www.coastairbrush.com/prodimages/osf01.png",145,124,1,127,"",""
147,"Shifty Flake","OSF-Shifty","http://www.coastairbrush.com/prodimages/sf01.png",145,125,1,127,"",""
148,"Ghost Flake","OSF-Ghost","prodimages/gf01.gif",145,126,1,127,"",""
152,"Silicone Base Hi-DEF Airbrush Formula","Temptu-S/B","prodimages/sb1.jpg",153,130,0,0,"","The first and only Silicone-Based Airbrush Makeup. TEMPTU’s revolutionary formula creates an unparalleled finish, a soft-focus glow, in sharp contrast to the ultra-matte finish of traditional airbrush makeup. Designed for Airbrush use, but can also be applied traditionally. Allows for hands-on touch ups and moveability."
149,"Psycho Flake","OSF-Psycho","prodimages/sppic.gif",145,127,1,127,"",""
150,"Frosty Pearls","OSF-Frosty Pearl","prodimages/fppic.gif",145,128,1,127,"",""
151,"Special/Ghost Pearls","OSF-Special/Ghost","prodimages/gppic.gif",145,129,1,127,"",""
153,"Temptu","Temptu","images/logotemptu.png",11,39,0,0,"",""
154,"Dura Airbrush Formula","Temptu-Dura","prodimages/dura1.jpg",153,132,1,0,"","What made TEMPTU Airbrush famous! It’s still the toughest makeup on the market today. This waterproof, sweatproof, climate-resistant formula offers complete coverage for skin and prosthetics in 41 vibrant shades. A must for Special FX and Body Painting."
155,"Aqua Airbrush Formula","Temptu-Aqua","prodimages/Aqua1.jpg",153,133,0,0,"","TEMPTU’s classic water-based foundation, available in 22 diverse shades. Gives beautiful, even coverage, and maintains a flawless matte finish under the most grueling of lighting situations. Smooth texture ensures a clog-free airbrushing experience."
156,"One Shot","One Shot","images/logooneshot.png",11,23,0,0,"",""
157,"Lettering Enamel Colors","One Shot-Lettering Enamels","prodimages/1shot.gif",156,0,1,0,"","1 Shot Lettering Enamels are oil based, high gloss enamels for interior and exterior use on metals, wood and glass; and have been the benchmark in lettering enamels for over 50 years. Excellent flow characteristics, single stroke coverage and vibrant durability are just a few of the reasons 1 Shot Lettering Enamels remain the favorite of pinstripers and sign painters alike. With their infinate color bledabilty and a full line of reducers and hardeners, it's no wonder 1 Shot Lettering Enamels are used by more sign and graphics professionals, than any other brand."
158,"Pearlescent Colors","One Shot-Pearls","prodimages/1shot.gif",156,2,1,0,"","1 Shot Pearlescent Colors are oil-based high gloss enamels for interior and exterior use on metal, glass, wood, masonite, fiberglass and enamel receptive vinyls."
159,"Fluorescent Colors","One Shot-Fluorescent","prodimages/1shot.gif",156,3,1,0,"","1 Shot Fluorescent Colors are translucent, oil-based paints that provide dazzling brilliance and color clarity. Fast drying to a dead flat finish, 1 Shot Fluorescent Colors are best apllied by spray or roller, over white primer or base. Topcoating with 1 Shot 220-F Fluorescent UV Topcoat Clear will provide a gloss finish, is recommended for interior applications and required for limited, short-term exterior applications."
160,"Additives / Reducers","One Shot-Add/Reducers","prodimages/1shot.gif",156,4,1,0,"","One key to a successful paint program, is to work with materials from within a system. The proper use of 1 Shot Reducers and Hardener in conjunction with our quality paint products, is the first step in acheiving the vibrance and longevity that sign makers, pinstripers and artists have come to expect from 1 Shot."
161,"Body Painting & Tattoo Formula","Temptu-Tattoo","prodimages/tat1.jpg",153,139,1,0,"","Temptu Alcohol based temporary tattoo paints are formulated to last from 5-7 days if applied correctly. FDA approved for body painting. "
162,"Black & White","Aqua Flow-BLK/WHT","prodimages/aquaflowlogo.gif",141,140,1,0,"",""
163,"Hot Colors","Aqua Flow-Hot Colors","prodimages/aquaflowlogo.gif",141,141,1,0,"",""
165,"Flake Buster Gun","OSF-Flake Buster","prodimages/fb01sm.gif",145,143,1,127,"",""
208,"DC Series by DeWayne Connot","DC Macks","prodimages/dewayne2.gif",200,183,1,0,"",""
209,"Mike Levallee's Pictorial Brushes","Lavallee's Brushes","prodimages/lavallee.gif",200,184,1,0,"","<p>The finest quality multi-diameter, silky soft, flagged Taklon, specially selected and blended together to achieve the performance of the best red sable, but with the durability of a synthetic brush. The ratio of our blend gives you a unique and superior capillary action in the release of color, far beyond other single diameter material offered by other manufacturers.</p>"
210,"The John Hannukaine Quill","Hannukaine","prodimages/johnhannukaine.gif",200,185,1,0,"","John Hannukaine graduated quill is available in six sizes."
211,"The Quinn-Mack","Quinn-Mack","prodimages/quinnquill.gif",200,186,1,0,"","<p>The ""Extended"" Quill For Curley Q's, stripes and letters of all types. Available in a brown & grey quill. QM Grey Quill with a pink Lacquered Handle. All Sizes have a Hair Length out of 1 1/4"".  QM Brown Quill with a plain Lacquered Handle, designed by Paul Quinn. All Sizes have a Hair Length out of 1 1/4""</ p>"
212,"Scrolling/Script Brush ""The Virus""","Virus","prodimages/3virus.gif",200,187,1,0,"","The series #444 is a specially blended golden taklon.  This recommended design by the industry leaders is perfect for scroll and script work."
213,"Scroll Stripers & Lettering Quills by The Wizard","Wizard Brushes","",200,188,1,0,"","Wizard Black Widow<br>
"
214,"Pin Up Girlies II Templates by Deborah Mahan","Pin Up Girlies II","prodimages/pin_up2.gif",731,18,1,0,"",""
215,"True Fire by Mike Lavellee","True Fire Template","prodimages/lavalleetruefirelogo.gif",731,19,1,0,"",""
216,"Auto Air Stencils","Stencils-Auto Air","http://www.coastairbrush.com/images/logoautoair.png",19,1,1,0,"",""
217,"Auto Air Accessory Items","Accessories-Auto Air","images/aaaccessSM2.jpg",61,2,1,0,"",""
218,"Auto Air Stencils","Stencil-Auto Air","images/aastencilsSM2.jpg",61,3,1,0,"",""
219,"Sword Stripers / Pinstriping Kit / Accessories","Xcaliber Brushes/Kit/Accessories","",205,194,1,0,"",""
220,"Pinstriping Font CD's by Mr. J","Xcaliber CD's","",205,195,1,0,"",""
221,"Steve Kafka's Pinstriping Brushes & Accessories","Kafka","http://www.coastairbrush.com/prodimages/logokafka.png",21,1,0,0,"",""
222,"Kafka Pinstriping Brushes","Kafka Brushes","",221,197,1,0,"",""
223,"Kafka Sets & Accessories","Kafka Accessories","",221,198,1,0,"",""
225,"Kustom Series","Kustom Series","images/logokustomW.png",26,9,1,0,"",""
856,"Iwata Black Ops.","Iwata Black Ops.","prodimages/logoBLACKops.png",10,2,1,0,"",""
857,"Iwata Black Ops.","Iwata Black Ops. Iwata Section","prodimages/logoBLACKops.png",26,0,1,0,"",""
858,"Iwata Black Ops.","Iwata Black Ops Spray Guns","prodimages/logoBLACKops.png",12,2,1,0,"",""
859,"Iwata Black Ops.","Iwata Black Ops ALL","prodimages/logoBLACKops.png",0,794,1,0,"",""
860,"Eclipse CS Signature Series","Ryno Signature Series (CS) (AB Cat)","prodimages/cssignature.png",70,2,1,0,"",""
276,"Tamiya Parts","Tamiya Parts","images/logotamiyaW.png",233,247,0,0,"",""
277,"Tamiya HG Superfine Parts","Tamiya HG Superfine Parts","prodimages/74514.gif",349,248,1,0,"http://www.coastairbrush.com/partsairbrush/74514parts.asp",""
806,"BLASTED SPECIALS","BLASTED SPECIALS","images/blastedspecials.png",0,747,1,127,"",""
807,"Harder & Steenbeck","Harder & Steenbeck","prodimages/logoharderairbrush1.png",10,6,0,0,"",""
808,"Infinity Airbrush","Infinity Airbrush","images/logoinfinity.png",807,0,1,0,"",""
263,"CLICK HERE FOR IWATA PARTS","Parts-Iwata","images/logoiwatapartsW.png",26,10,0,0,"http://www.coastairbrush.com/categories.asp?cat=234",""
