"pID","pName","pSection","pPrice","pWholesalePrice","pListPrice","pShipping","pShipping2","pWeight","pDisplay","pSell","pBackOrder","pGiftWrap","pExemptions","pInStock","pDims","pTax","pDropship","pStaticPage","pStockByOpts","pRecommend","pOrder","pSKU","pManufacturer","pSearchParams","pTitle","pMetaDesc","pStaticURL","pMinQuant","pDescription","pLongDescription"
"126793",".4mm CROWN CAP for Infinity",851,34.12,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,10,"",0,"","","","",0,"",""
"123740",".4mm Needle for Evolution/Infinity",850,14.23,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,3,"",0,"","","","",0,"",""
"123832",".4mm Nozzle for Evolution/Infinity",850,21.2,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,6,"",0,"","","","",0,"",""
"123713",".4mm Nozzle Set for Infinity/Evolution",845,53.2,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, Air Cap<br><br>",""
"126844",".4mm Nozzle Set w/ CROWN CAP for CR Plus",845,67.25,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, CROWN Air Cap<br><br>",""
"126843",".4mm Nozzle Set w/ CROWN CAP for Infinith/Evolution",845,61.14,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, CROWN Air Cap<br><br>",""
"CONV5E",".5mm Eclipse Conversion Set",252,25.5,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Needle/Nozzle/Nozzle Cap, for converting any .35mm Stock Eclipse to a .5mm.",""
"CONV5N",".5mm Neo Conversion Set",252,22.55,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"CONV5R",".5mm Revolution Conversion Set",252,55.9,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"CONV5TR",".5mm Revolution TR Conversion Set",252,39.9,0,0,0,0,0,0,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"123723",".6mm Nozzle Set for Infinity/Evolution",845,53.2,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"Includes: Nozzle, Needle, Air Cap<br><br>",""
"1010397-SINGLE","0.3L RPS Disposable Cup - SINGLE",412,3.25,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"<br><br>
Includes: 0.3L Cup, Lid and 200 Mesh Filter. CLICK FOR MORE INFO.</p>","<p>The SATA RPS Disposable Cups with Lid and Filter provide you with the basic products for a professional paint job. These disposable cups are very efficient and versatile, and you can use them for mixing, refilling, painting, and storing</p>
<p>RPS stands for Rapid Preparation System, and that&rsquo;s what these products will allow you to do, prepare for a job rapidly. We recommend this product for all those who are particular about a perfectly finished paint job. Not only will it help your business, but it will make your work easier by reducing the usage of cleaning solutions and solvents.</p>
<div><strong>Uses for the SATA RPS Disposable Cups with Lid and Filter:</strong></div>
<div><br>
</div>
<div><strong>Mixing the Paint</strong></div>
<ul>
  <li>Can be used for mixing the paint and reduces the usage of numerous mixing cups and sieves, as this versatile cup can do it all</li>
  <li>Less contact with paint translates to a cleaner work area</li>
</ul>
<div><em>Note: There are different types of sieves for different paints. Please follow the paint manufacturer&rsquo;s instructions for best results.</em></div>
<div><br>
</div>
<div><strong>Painting and Refilling</strong></div>
<ul>
  <li>Lightweight cups are easy to handle</li>
  <li>Low center of gravity makes it safe and reduces fatigue</li>
  <li>Usually, only the spray gun will require flushing, and you can refill the cups very easily</li>
</ul>
<div><strong>Storing the Paint</strong></div>
<ul>
  <li>Well-designed cups and its airtight lids make it easy to store paint, away from any contaminants</li>
  <li>Can be conveniently disposed of. Does not require any special disposal system</li>
</ul>
<div><strong>Special Features:</strong></div>
<ul>
  <li>Comprises only three parts – cup, lid, and sleeve – and is very easy to use</li>
  <li>Does not need extra adapters for fitting to the spray gun</li>
  <li>Cleaning is very simple, allowing you to change colors in between the project</li>
  <li>Continuous ventilation through the anti-drip device gives you a consistent flow of paint</li>
  <li>Available in 3 sizes: 0.3 l, 0.6 l, and 0.9 l</li>
</ul>"
"1010561-SINGLE","0.3L RPS Disposable Cup for MiniJet - SINGLE",412,3.25,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"<p>*For Smaller Sata MiniJet Quick Coupler*<p>
Includes: 0.3L Cup, Lid and 200 Mesh Filter. CLICK FOR MORE INFO.</p>","<p>*Fits on SATA minijet spray guns until SATAminijet 3000 B Series.*</p>The SATA RPS Disposable Cups with Lid and Filter provide you with the basic products for a professional paint job. These disposable cups are very efficient and versatile, and you can use them for mixing, refilling, painting, and storing</p>
<p>RPS stands for Rapid Preparation System, and that&rsquo;s what these products will allow you to do, prepare for a job rapidly. We recommend this product for all those who are particular about a perfectly finished paint job. Not only will it help your business, but it will make your work easier by reducing the usage of cleaning solutions and solvents.</p>
<div><strong>Uses for the SATA RPS Disposable Cups with Lid and Filter:</strong></div>
<div><br>
</div>
<div><strong>Mixing the Paint</strong></div>
<ul>
  <li>Can be used for mixing the paint and reduces the usage of numerous mixing cups and sieves, as this versatile cup can do it all</li>
  <li>Less contact with paint translates to a cleaner work area</li>
</ul>
<div><em>Note: There are different types of sieves for different paints. Please follow the paint manufacturer&rsquo;s instructions for best results.</em></div>
<div><br>
</div>
<div><strong>Painting and Refilling</strong></div>
<ul>
  <li>Lightweight cups are easy to handle</li>
  <li>Low center of gravity makes it safe and reduces fatigue</li>
  <li>Usually, only the spray gun will require flushing, and you can refill the cups very easily</li>
</ul>
<div><strong>Storing the Paint</strong></div>
<ul>
  <li>Well-designed cups and its airtight lids make it easy to store paint, away from any contaminants</li>
  <li>Can be conveniently disposed of. Does not require any special disposal system</li>
</ul>
<div><strong>Special Features:</strong></div>
<ul>
  <li>Comprises only three parts – cup, lid, and sleeve – and is very easy to use</li>
  <li>Does not need extra adapters for fitting to the spray gun</li>
  <li>Cleaning is very simple, allowing you to change colors in between the project</li>
  <li>Continuous ventilation through the anti-drip device gives you a consistent flow of paint</li>
  <li>Available in 3 sizes: 0.3 l, 0.6 l, and 0.9 l</li>
</ul>"
"1010561","0.3L RPS Disposable Cup System for MiniJet (Case)",412,149,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"<p>*For Smaller Sata MiniJet Quick Coupler*<p>RPS Case Includes: 60ea of Cups, Lids and 200 Mesh Filters. CLICK FOR MORE INFO.</p>
","<p>*Fits on SATA minijet spray guns until SATAminijet 3000 B Series.*</p>

The SATA RPS Disposable Cups with Lid and Filter provide you with the basic products for a professional paint job. These disposable cups are very efficient and versatile, and you can use them for mixing, refilling, painting, and storing</p>
<p>RPS stands for Rapid Preparation System, and that&rsquo;s what these products will allow you to do, prepare for a job rapidly. We recommend this product for all those who are particular about a perfectly finished paint job. Not only will it help your business, but it will make your work easier by reducing the usage of cleaning solutions and solvents.</p>
<div><strong>Uses for the SATA RPS Disposable Cups with Lid and Filter:</strong></div>
<div><br>
</div>
<div><strong>Mixing the Paint</strong></div>
<ul>
  <li>Can be used for mixing the paint and reduces the usage of numerous mixing cups and sieves, as this versatile cup can do it all</li>
  <li>Less contact with paint translates to a cleaner work area</li>
</ul>
<div><em>Note: There are different types of sieves for different paints. Please follow the paint manufacturer&rsquo;s instructions for best results.</em></div>
<div><br>
</div>
<div><strong>Painting and Refilling</strong></div>
<ul>
  <li>Lightweight cups are easy to handle</li>
  <li>Low center of gravity makes it safe and reduces fatigue</li>
  <li>Usually, only the spray gun will require flushing, and you can refill the cups very easily</li>
</ul>
<div><strong>Storing the Paint</strong></div>
<ul>
  <li>Well-designed cups and its airtight lids make it easy to store paint, away from any contaminants</li>
  <li>Can be conveniently disposed of. Does not require any special disposal system</li>
</ul>
<div><strong>Special Features:</strong></div>
<ul>
  <li>Comprises only three parts – cup, lid, and sleeve – and is very easy to use</li>
  <li>Does not need extra adapters for fitting to the spray gun</li>
  <li>Cleaning is very simple, allowing you to change colors in between the project</li>
  <li>Continuous ventilation through the anti-drip device gives you a consistent flow of paint</li>
  <li>Available in 3 sizes: 0.3 l, 0.6 l, and 0.9 l</li>
</ul>"
"1010397","0.3L RPS Disposable Cup System STANDARD (Case)",412,108.75,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"<p>RPS Case Includes: 60ea of Cups, Lids and 200 Mesh Filters. CLICK FOR MORE INFO.</p>
","<p>The SATA RPS Disposable Cups with Lid and Filter provide you with the basic products for a professional paint job. These disposable cups are very efficient and versatile, and you can use them for mixing, refilling, painting, and storing</p>
<p>RPS stands for Rapid Preparation System, and that&rsquo;s what these products will allow you to do, prepare for a job rapidly. We recommend this product for all those who are particular about a perfectly finished paint job. Not only will it help your business, but it will make your work easier by reducing the usage of cleaning solutions and solvents.</p>
<div><strong>Uses for the SATA RPS Disposable Cups with Lid and Filter:</strong></div>
<div><br>
</div>
<div><strong>Mixing the Paint</strong></div>
<ul>
  <li>Can be used for mixing the paint and reduces the usage of numerous mixing cups and sieves, as this versatile cup can do it all</li>
  <li>Less contact with paint translates to a cleaner work area</li>
</ul>
<div><em>Note: There are different types of sieves for different paints. Please follow the paint manufacturer&rsquo;s instructions for best results.</em></div>
<div><br>
</div>
<div><strong>Painting and Refilling</strong></div>
<ul>
  <li>Lightweight cups are easy to handle</li>
  <li>Low center of gravity makes it safe and reduces fatigue</li>
  <li>Usually, only the spray gun will require flushing, and you can refill the cups very easily</li>
</ul>
<div><strong>Storing the Paint</strong></div>
<ul>
  <li>Well-designed cups and its airtight lids make it easy to store paint, away from any contaminants</li>
  <li>Can be conveniently disposed of. Does not require any special disposal system</li>
</ul>
<div><strong>Special Features:</strong></div>
<ul>
  <li>Comprises only three parts – cup, lid, and sleeve – and is very easy to use</li>
  <li>Does not need extra adapters for fitting to the spray gun</li>
  <li>Cleaning is very simple, allowing you to change colors in between the project</li>
  <li>Continuous ventilation through the anti-drip device gives you a consistent flow of paint</li>
  <li>Available in 3 sizes: 0.3 l, 0.6 l, and 0.9 l</li>
</ul>
"
"1010488-SINGLE","0.6L RPS Disposable Cup - SINGLE",412,3.5,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"<p>ncludes: 0.6L Cup, Lid and 200 Mesh Filter. CLICK FOR MORE INFO.</p>","<p>The SATA RPS Disposable Cups with Lid and Filter provide you with the basic products for a professional paint job. These disposable cups are very efficient and versatile, and you can use them for mixing, refilling, painting, and storing</p>
<p>RPS stands for Rapid Preparation System, and that&rsquo;s what these products will allow you to do, prepare for a job rapidly. We recommend this product for all those who are particular about a perfectly finished paint job. Not only will it help your business, but it will make your work easier by reducing the usage of cleaning solutions and solvents.</p>
<div><strong>Uses for the SATA RPS Disposable Cups with Lid and Filter:</strong></div>
<div><br>
</div>
<div><strong>Mixing the Paint</strong></div>
<ul>
  <li>Can be used for mixing the paint and reduces the usage of numerous mixing cups and sieves, as this versatile cup can do it all</li>
  <li>Less contact with paint translates to a cleaner work area</li>
</ul>
<div><em>Note: There are different types of sieves for different paints. Please follow the paint manufacturer&rsquo;s instructions for best results.</em></div>
<div><br>
</div>
<div><strong>Painting and Refilling</strong></div>
<ul>
  <li>Lightweight cups are easy to handle</li>
  <li>Low center of gravity makes it safe and reduces fatigue</li>
  <li>Usually, only the spray gun will require flushing, and you can refill the cups very easily</li>
</ul>
<div><strong>Storing the Paint</strong></div>
<ul>
  <li>Well-designed cups and its airtight lids make it easy to store paint, away from any contaminants</li>
  <li>Can be conveniently disposed of. Does not require any special disposal system</li>
</ul>
<div><strong>Special Features:</strong></div>
<ul>
  <li>Comprises only three parts – cup, lid, and sleeve – and is very easy to use</li>
  <li>Does not need extra adapters for fitting to the spray gun</li>
  <li>Cleaning is very simple, allowing you to change colors in between the project</li>
  <li>Continuous ventilation through the anti-drip device gives you a consistent flow of paint</li>
  <li>Available in 3 sizes: 0.3 l, 0.6 l, and 0.9 l</li>
</ul>"
"1010488","0.6L RPS Disposable Cup System (Case)",412,172.05,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"<p>RPS Case Includes: 57ea of Cups, Lids and Filters</p>","<p>The SATA RPS Disposable Cups with Lid and Filter provide you with the basic products for a professional paint job. These disposable cups are very efficient and versatile, and you can use them for mixing, refilling, painting, and storing</p>
<p>RPS stands for Rapid Preparation System, and that&rsquo;s what these products will allow you to do, prepare for a job rapidly. We recommend this product for all those who are particular about a perfectly finished paint job. Not only will it help your business, but it will make your work easier by reducing the usage of cleaning solutions and solvents.</p>
<div><strong>Uses for the SATA RPS Disposable Cups with Lid and Filter:</strong></div>
<div><br>
</div>
<div><strong>Mixing the Paint</strong></div>
<ul>
  <li>Can be used for mixing the paint and reduces the usage of numerous mixing cups and sieves, as this versatile cup can do it all</li>
  <li>Less contact with paint translates to a cleaner work area</li>
</ul>
<div><em>Note: There are different types of sieves for different paints. Please follow the paint manufacturer&rsquo;s instructions for best results.</em></div>
<div><br>
</div>
<div><strong>Painting and Refilling</strong></div>
<ul>
  <li>Lightweight cups are easy to handle</li>
  <li>Low center of gravity makes it safe and reduces fatigue</li>
  <li>Usually, only the spray gun will require flushing, and you can refill the cups very easily</li>
</ul>
<div><strong>Storing the Paint</strong></div>
<ul>
  <li>Well-designed cups and its airtight lids make it easy to store paint, away from any contaminants</li>
  <li>Can be conveniently disposed of. Does not require any special disposal system</li>
</ul>
<div><strong>Special Features:</strong></div>
<ul>
  <li>Comprises only three parts – cup, lid, and sleeve – and is very easy to use</li>
  <li>Does not need extra adapters for fitting to the spray gun</li>
  <li>Cleaning is very simple, allowing you to change colors in between the project</li>
  <li>Continuous ventilation through the anti-drip device gives you a consistent flow of paint</li>
  <li>Available in 3 sizes: 0.3 l, 0.6 l, and 0.9 l</li>
</ul>"
"1011981-SINGLE","0.9L RPS Disposable Cup - SINGLE",412,3.75,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"<p>Includes: 0.9L Cup, Lid and 200 Mesh Filter. CLICK FOR MORE INFO.</p>","<p>The SATA RPS Disposable Cups with Lid and Filter provide you with the basic products for a professional paint job. These disposable cups are very efficient and versatile, and you can use them for mixing, refilling, painting, and storing</p>
<p>RPS stands for Rapid Preparation System, and that&rsquo;s what these products will allow you to do, prepare for a job rapidly. We recommend this product for all those who are particular about a perfectly finished paint job. Not only will it help your business, but it will make your work easier by reducing the usage of cleaning solutions and solvents.</p>
<div><strong>Uses for the SATA RPS Disposable Cups with Lid and Filter:</strong></div>
<div><br>
</div>
<div><strong>Mixing the Paint</strong></div>
<ul>
  <li>Can be used for mixing the paint and reduces the usage of numerous mixing cups and sieves, as this versatile cup can do it all</li>
  <li>Less contact with paint translates to a cleaner work area</li>
</ul>
<div><em>Note: There are different types of sieves for different paints. Please follow the paint manufacturer&rsquo;s instructions for best results.</em></div>
<div><br>
</div>
<div><strong>Painting and Refilling</strong></div>
<ul>
  <li>Lightweight cups are easy to handle</li>
  <li>Low center of gravity makes it safe and reduces fatigue</li>
  <li>Usually, only the spray gun will require flushing, and you can refill the cups very easily</li>
</ul>
<div><strong>Storing the Paint</strong></div>
<ul>
  <li>Well-designed cups and its airtight lids make it easy to store paint, away from any contaminants</li>
  <li>Can be conveniently disposed of. Does not require any special disposal system</li>
</ul>
<div><strong>Special Features:</strong></div>
<ul>
  <li>Comprises only three parts – cup, lid, and sleeve – and is very easy to use</li>
  <li>Does not need extra adapters for fitting to the spray gun</li>
  <li>Cleaning is very simple, allowing you to change colors in between the project</li>
  <li>Continuous ventilation through the anti-drip device gives you a consistent flow of paint</li>
  <li>Available in 3 sizes: 0.3 l, 0.6 l, and 0.9 l</li>
</ul>"
"1011981","0.9L RPS Disposable Cup System (Case)",412,149,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",0,"","","","",0,"<p>RPS Case Includes 40 cups, lids and 200mesh sieves. CLICK FOR MORE INFO.</p>","<p>The SATA RPS Disposable Cups with Lid and Filter provide you with the basic products for a professional paint job. These disposable cups are very efficient and versatile, and you can use them for mixing, refilling, painting, and storing</p>
<p>RPS stands for Rapid Preparation System, and that&rsquo;s what these products will allow you to do, prepare for a job rapidly. We recommend this product for all those who are particular about a perfectly finished paint job. Not only will it help your business, but it will make your work easier by reducing the usage of cleaning solutions and solvents.</p>
<div><strong>Uses for the SATA RPS Disposable Cups with Lid and Filter:</strong></div>
<div><br>
</div>
<div><strong>Mixing the Paint</strong></div>
<ul>
  <li>Can be used for mixing the paint and reduces the usage of numerous mixing cups and sieves, as this versatile cup can do it all</li>
  <li>Less contact with paint translates to a cleaner work area</li>
</ul>
<div><em>Note: There are different types of sieves for different paints. Please follow the paint manufacturer&rsquo;s instructions for best results.</em></div>
<div><br>
</div>
<div><strong>Painting and Refilling</strong></div>
<ul>
  <li>Lightweight cups are easy to handle</li>
  <li>Low center of gravity makes it safe and reduces fatigue</li>
  <li>Usually, only the spray gun will require flushing, and you can refill the cups very easily</li>
</ul>
<div><strong>Storing the Paint</strong></div>
<ul>
  <li>Well-designed cups and its airtight lids make it easy to store paint, away from any contaminants</li>
  <li>Can be conveniently disposed of. Does not require any special disposal system</li>
</ul>
<div><strong>Special Features:</strong></div>
<ul>
  <li>Comprises only three parts – cup, lid, and sleeve – and is very easy to use</li>
  <li>Does not need extra adapters for fitting to the spray gun</li>
  <li>Cleaning is very simple, allowing you to change colors in between the project</li>
  <li>Continuous ventilation through the anti-drip device gives you a consistent flow of paint</li>
  <li>Available in 3 sizes: 0.3 l, 0.6 l, and 0.9 l</li>
</ul>"
"MAKEUP-CLASS-HALFx","1 Day Makeup Class w/ Joe McDonough September 18th",646,100,0,0,0,0,0,0,1,0,0,15,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"MAKEUP-CLASS-FULLx","1 Day Makeup Class w/ Joe McDonough September 18th",646,225,0,0,0,0,0,0,1,0,0,15,0,"",,0,0,0,0,0,"",0,"","","","",0,"",""
"4007L","1 Shot Hardener",160,0,0,0,0,0,0,1,1,0,0,0,0,"",,0,0,0,0,0,"",5,"","","","",0,"<p>Hardener 4007 is designed to accelerate drying time for 1 Shot Lettering Enamels, Pearlescent Enamels, Background Enamels and Bulletin Colors. In many cases it can improve adhesion qualities, extend color life and increase gloss retention. It is also required when using any enamel or urethane topcoats over catalyzed 1 Shot.</p>",""
"2327M","1 Shot Monochromatic Pinstriping Starter Kit",272,60.73,0,0,0,0,0,1,0,0,0,0,0,"",,0,0,0,0,0,"",5,"","","","",0,"<p>The 1 Shot Monochromatic Starter Kit is a great way to get started in Pinstriping. This kit includes 2 Striping Brushes and 3 Colors.<p>

Included:<br>
White 1/4 Pint<br>
Fire Red 1/4 Pint<br>
Black 1/4 Pint<br>
Scroller Brush<br>
Pinstripe Brush</p>

<font color=""white""><a href=""http://www.coastairbrush.com/proddetail.asp?prod=Low_Temp_Reducer_%28quart%29"">6001L Reducer</a> or Mineral Spirits, is recommended for reduction</font></p>",""
