"sectionID","sectionWorkingName"
"356","Pin Up 2 Mini"
"357","Tiki Master Mini"
"358","Tiki Master II Mini"
"359","Flame O Rama Mini"
"360","Patriotica Mini"
"361","Kustom FX Mini"
"362","FX II Mini"
"363","FX 3 Mini"
"364","Horror Mini"
"365","Skull Master Mini"
"366","Curse Mini"
"367","Return Mini"
"368","Son Mini"
"369","Kustom Kulture Mini"
"370","Sailor Girlie Mini"
"375","PPS Adapters"
"376","PPS Lids & Liners"
"377","PPS Cups"
"378","PPS Kits"
"379","PPS Accessories"
"381","Karajen"
"382","Kelly Mack"
"412","RPS Cups"
"413","RPS Adapters"
"415","MDT"
"417","MDT-Kits"
"418","KTH Parts"
"419","KTR Parts"
"420","KCM Parts"
"421","KCH Parts"
"422","KCS Parts"
"453","Kanji Mini"
"454","Flame 2 Mini"
"457","Plotters"
"458","Plotter software"
"460","3D Objects"
"462","Virtus Flat"
"464","Bobbo-Mack"
"466","LPH80 Parts"
"467","LPH50 Parts"
"468","LPH300 Parts"
"469","LPH400/LV/LVB/LVX Parts"
"470","LPH100/101 Parts"
"471","LPH440 Parts"
"472","RG3 Parts"
"473","W101/100 Parts"
"474","W400/400LV Parts"
"476","Fitches"
"477","Spray Gun Holders"
"479","Iwata Apparel"
"481","Artool DVD"
"485","DeKups Cups"
"486","DeKups Adapters"
"494","Mack Trickster"
"495","Temptu Starter Sets"
"496","Gift Card"
"497","DeKups Cleaning"
"498","DeKups Kits"
"499","DeVilbiss Compressors"
"501","Tamiya Modeling Brushes/Paint Accessories"
"502","Beugler Tool"
"503","Beugler Wheelheads"
"504","Beugler Accessories"
"505","Light Boxes"
"507","Stir & Mixing Sticks"
"508","Dura Platinum"
"509","HOK Apparel"
"513","Gilding Brushes"
"526","Wrath Mini"
"528","Skullophenia"
"529","Draco Nano"
"531","Vinyl"
"532","Aeroflash Sets"
"534","Hbb Skulls"
"535","Hbb Animals"
"536","Hbb Dragons"
"537","Hbb Flowers"
"538","Hbb Gargoyles"
"539","Hbb Klowns"
"540","Hbb Knights"
"541","Hbb Pin Up"
"542","Hbb Prirates"
"543","Hbb Pistols"
"544","Hbb Scorpions"
"545","Hbb Scorceress"
"546","Hbb Spiders"
"547","Hbb Tikis"
"548","Hbb Devil Girls"
"549","Hbb Devils"
"550","Hbb Jibs"
"551","Hbb Hot Rods"
"552","Hbb Toon Rods"
"553","Hbb Skeletons"
"554","Hbb Mini Sets"
"556","Hbb DVD's"
"559","Renegade Series Airbrushes"
"564","Mini Piracy"
"565","Mini Pirate Girlies"
"566","shipping"
"567","Mini Texture FX"
"570","Color Horizons Base Colors"
"572","3M Perfect-It"
"574","G3/G5/G6 Gun Parts"
"576","Color Horizons Candy Concentrate"
"577","Color Horizons Fluorescent Concentrates"
"578","Color Horizons Flakes"
"579","Color Horizons Hyperbase"
"580","Color Horizons Hot Rod Black"
"581","Color Horizons Lightning FX"
"582","Color Horizons Hyper FX"
"583","Color Horizons Paste Pearls"
"584","Color Horizons Clears"
"585","Color Horizons Primers"
"586","Color Horizons Reducers"
"587","Color Horizons Accessories"
"590","Laser Lines"
"592","Sata Spray Guns"
"595","Paasche TALON"
"596","Talon TG Parts"
"598","Paasche Compressors"
"602","Renegade Parts"
"604","FX4 Mini Series"
"611","S/B Foundations"
"612","S/B Hi-Def"
"613","S/B Adjusters"
"614","S/B Blush"
"615","S/B Highlighters"
"616","S/B Thinners/Cleaners & Concealer Wheel"
"617","S/B Starter Kits"
"618","DAGR Parts"
"619","Sotar 2020 Parts"
"621","Kustom Kolor Mini Templates"
"625","True Fire Nano"
"631","Mr. G Signature Series"
"634","Temptu Compressor"
"635","Tamiya Thinners / Primers"
"636","Tidwell Brushes"
"644","Body Fillers"
"646","Classes"
"648","Alan Pastrana Templates"
"649","Scott MacKay Templates"
"650","Variegated Leaf"
"651","Gold & Silver Leaf"
"652","Turning Tools & Gilding Brushes"
"653","Sizing Glue"
"654","Leafing Videos & Books"
"656","Leafing Kits"
"657","Instructional DVD's"
"658","Aqua Foundations"
"659","Aqua Blush"
"660","Aqua Adjusters"
"661","Aqua Shimmers"
"664","Fresh Air Systems"
"665","3M Versaflow"
"666","Airbrush Action Magazine"
"667","Pinstriping & Kustom Graphics Magazine"
"668","Auto Art Magazine"
"669","Burnout Magazine"
"671","Tiki Magazine"
"674","Buff and Shine"
"676","Standard Flake"
"677","Trippin Flake"
"678","Monster Flake"
"679","Lil Flake"
"680","Baby Flake"
"681","Roth Striping Enamels"
"684","Island FX Nanos"
"685","Kanji Motto Nanos"
"686","Tikiville Nanos"
"687","Wicked Detail Colors"
"688","Wicked Transparent"
"689","Wicked Sets"
"690","Wicked Reducer/Additives"
"693","Steampunk Mini Series"
"694","Lil Daddy Roth Flake Guns"
"696","Patriot 105 Parts"
"700","Freak Flex"
"702","Freak Flex (badger brush section)"
"705","Step By Step How To's"
"708","EBA Accessories"
"709","EBA Body Shimmer"
"711","Droscoll Flesh Tones"
"717","Createx How To's"
"719","Spider Master Mini series"
"720","Wicked Fluorescents"
"728","EBA Endura (Alcohol Base)"
"729","EVA Vibe Standard"
"730","EBA Vibe FX"
"733","Rattle Bases"
"734","Rattle Flakes"
"735","Rattle Kandies"
"736","Rattle Clears"
"741","Mini VIking FX"
"742","Wicked Pearl & Metallics"
"750","HOK S2 Metalume FX"
"751","HOK S2 Kosamene FX"
"752","HOK S2 Kosmatic Styling Pearl"
"753","HOK S2 Metajuls FX"
"754","HOK S2 Kameleon FX"
"755","HOK S2 Kosmic Sparks FX"
"758","Wicked UV Glow Colors"
"763","S/B Bronzers"
"764","S/B Multicolors"
"765","CSI Polishes/Waxes"
"767","California Air Tools Compressors"
"771","Blasted FX Mini Series"
"772","NONE"
"773","Cleaning Bottles & Sprayers"
"777","Temptu DVD"
"782","GlamAire Sampler Sets"
"783","Graftobian Warm Colors"
"784","Graftobian Neutral Colors"
"785","Graftobian Cool Colors"
"786","Graftobian Adjusters"
"788","Graftobian Chart"
"789","Artool Grunge FX"
"794","Badger DVD's"
"796","Createx Illustration Colors Main"
"799","T-Shirt Starter Kits"
"802","Automotive Starter Kits"
"803","Iwata Starter Sets"
"804","Illustration Kits"
"805","Tidwell Pinkies"
"806","BLASTED SPECIALS"
"808","Infinity Airbrush"
"809","Evolution Airbrush"
"810","Harder & Steenbeck Accessories"
"811","Harder & Steenbeck Parts"
"815","SATAGraph Parts"
"817","Bloodline Kits"
"818","Bloodline Colors"
"834","JATech Air Hoses"
"835","Quick Connect Couplers"
"836","Roth Diamond Pearls"
"840","Steam Punk FX 2 Mini Series"
"841","Steam Driven FX Mini Series"
"843","Evolution Parts"
"844","Infinity Parts"
"845","Harder & Steenbeck Nozzles/Needles Sets"
"846","Harder & Steenbeck Cups/Lids"
"847","Harder & Steenbeck Valves/Handles"
"848","Harder & Steenbeck O-Rings"
"850","Harder & Steenbeck Nozzles/Needles"
"851","Harder & Steenbeck Air Caps"
"852","Panel Jammers"
"855","Badger Krome Parts"
"859","Iwata Black Ops ALL"
"863","Createx Apparel"
"873","Texture FX 2 Mini"
"875","Wizard Instructional DVD's"
"876","EBA Face Off"
"879","Grex Parts"
"880","Grex Hoses"
"881","Christmas Specials"
"884","ProAiir Original Paints (sub)"
"885","ProAiir Dips (sub)"
"886","ProAiir Fluorescent (sub)"
"887","ProAiir Zombie (sub)"
"888","ProAiir Kits"
"1","Supernova Parts"
"2","LS400 Parts"
"3","Tidwell Monster Stix"
"5","System 51 Compounds"
"6","System 51 Pads"
"7","System 51 Waxes"
"8","System 51 Kits"
"41","Tidwell Hippie Tripple"
"45","Ted Turner Drag'n Fly"
"71","Ryno Sig Series (CM) - Iwata Cat"
"73","Ryno Signature Series (CM) (AB Cat)"
"94","Coast Blank Panels"
"104","Black Flys Sunglasses"
"105","Buffers/Polishers"
"140","Wizard Black Widow"
"164","Talon TS Parts"
"166","Vision Parts"
"256","candy2o Colors"
"265","candy2o Sets"
"312","Technical Data (Wicked)"
"311","Technical Data (candy2o)"
"314","AutoBorne Sealer Sets"
"323","AutoBorne Tech Data"
"384","Razor Blades / Removal Tools"
"388","Memorial Sale"
"389","PPS Dispensers"
"390","Coast Apparel"
"391","Coast Banners"
"392","FBS Tapes & Sprayers"
"394","Lumilor Applicator Kits/Bundles"
"395","Lumilor Applicator Individual Components"
"396","Lumilor Applicator Medium Components"
"397","Lumilor Applicator Large Components"
"398","Lumilor Applicator Connectors & Accessories"
"399","Lumilor Applicator Training"
"400","Domini-Quinn"
"402","SharpenAir Parts Section"
"440","Herb Martinez"
"488","Mission Models Clear Coats"
"506","PPS 2.0 Adapters"
"514","PPS 2.0 Liner/Cup Kits"
"515","PPS 2.0 Hard Cups"
"521","Pinstriping & Kustom Graphics Shirts"
"588","Texture FX 3 Mini"
"593","Texture FX Nano"
"597","Scenix HIGH PERFORMANCE Mural & Theme Paint"
"599","Scenix Clear Coats & Additives"
"622","Trulers"
"638","Tamco Brush FX"
"701","Alphanamel Additives"
"707","Alpha 6 Accessories - Paint Section"
"721","Mr. B Pinstriping Brushes >Mack>Sig"
"878","Scenix Invisible UV & Glows"
"890","BLACK FRIDAY SALES"
"893","Createx UVLS Clear Coat (SCENIX)"
"894","Air Oil & Lead Grisaille Grey"
"895","Respirators"
"898","Bishop Rotary Kits"
"897","Ryan Townsend Kits"
"900","Iwata TH2 Parts"
"901","KTH2 Parts"
"904","Pocket GraFX Templates"
"905","HOK KD3000 Aerosols"
"906","Flake King Color Chart"
"908","Trigger Happy Grips"
"909","Lil Daddy Roth Color Decks"
"910","Curing / Infrared"
"912","Skull Caps"
"913","Skull Caps"
"914","Skull Caps"
"915","Hoses & Fittings"
"916","Alphanamel Alphakrylik Markers"
"918","AOLN"
"920","HOK Coarse Metallics"
"921","HOK Midnight Series"
"923","HOK Kustom Mix Kolors"
"924","Edge Master"
"925","Tamco Concentrates"
"926","Wicked Opaque Colors"
"927","Grex Spray Gun"
"929","RUPES Polishes"
"930","RUPES Pads"
"931","RUPES Polishers"
"937","VsionAir Jigs"
"939","VsionAir Accessories - Was ""Airbrush Specific"" others hidden"
"940","VsionAir Accessories - Storage & Comfort"
"941","VsionAir Accessories - ALL"
"944","Paint Huffer Flake"
"945","Paint Huffer Danny D"
"946","Paint Huffer Dry Pearls"
"949","The Last Gun Rack"
